bp	wp	player	move	reaction_time	player_id	16
0	0	Black	22	12	400	16
16777216	0	White	23	9	394	16
16777216	2048	Black	23	10	398	16
16793600	2048	White	4	7	396	16
16793600	2064	Black	15	8	387	16
18890752	2064	White	23	9	358	16
18890752	2068	Black	22	20	388	16
23085056	2068	White	23	1	1	16
23085056	8390676	Black	30	21	396	16
23085120	8390676	White	30	1	1	16
23085120	1082132500	Black	15	5	79	16
24133696	1082132500	White	19	1	1	16
24133696	1082656788	Black	15	5	78	16
24166464	1082656788	White	33	5	65	16
24166464	9672591380	Black	13	8	64	16
24174656	9672591380	White	16	1	1	16
24174656	9672595476	Black	16	1	1	16
0	0	Black	22	12	400	16
4	0	White	22	10	400	16
4	2097152	Black	3	14	400	16
8196	2097152	White	12	10	388	16
8196	2099200	Black	31	12	370	16
8228	2099200	White	3	13	389	16
8228	2099216	Black	23	13	397	16
8230	2099216	White	3	9	206	16
8230	3147792	Black	3	9	141	16
4202534	3147792	White	3	12	299	16
4202534	3151888	Black	28	6	125	16
272637990	3151888	White	3	19	254	16
272637990	36706320	Black	3	23	384	16
272670758	36706320	White	14	9	115	16
272670758	36706328	Black	30	4	44	16
1346412582	36706328	White	14	5	116	16
1346412582	36968472	Black	19	9	109	16
1346936870	36968472	White	10	5	47	16
1346936870	36969496	Black	9	7	93	16
1346937382	36969496	White	29	3	18	16
1346937382	36969560	Black	29	3	17	16
1883808294	36969560	White	31	1	1	16
1883808294	2184453208	Black	27	1	1	16
0	0	Black	22	12	400	16
33554432	0	White	24	13	400	16
33554432	16	Black	24	18	399	16
33554560	16	White	23	8	249	16
33554560	65552	Black	15	12	398	16
33587328	65552	White	23	8	194	16
33587328	65584	Black	23	5	77	16
33587392	65584	White	23	5	102	16
33587392	16842800	Black	32	17	398	16
41976000	16842800	White	31	1	1	16
41976000	2164326448	Black	13	11	384	16
41984192	2164326448	White	14	25	390	16
41984192	2164326452	Black	3	22	388	16
41984200	2164326452	White	33	3	47	16
41984200	10754261044	Black	32	20	388	16
41988296	10754261044	White	14	1	1	16
41988296	10754277428	Black	34	15	107	16
17221857480	10754277428	White	21	19	377	16
17221857480	11828019252	Black	32	18	222	16
21516824776	11828019252	White	11	17	307	16
21516824776	11830116404	Black	11	16	227	16
21517349064	11830116404	White	11	3	16	16
21517349064	11830118452	Black	1	4	28	16
21517349066	11830118452	White	28	13	144	16
21517349066	12366989364	Black	28	2	13	16
21785784522	12366989364	White	10	8	17	16
0	0	Black	22	12	400	16
32	0	White	6	10	391	16
32	1048576	Black	22	9	400	16
2097184	1048576	White	13	12	390	16
2097184	17825792	Black	13	9	333	16
538968096	17825792	White	13	1	1	16
538968096	17833984	Black	30	12	284	16
538968104	17833984	White	30	5	102	16
538968104	17838080	Black	4	3	29	16
538984488	17838080	White	4	3	32	16
538984488	17838096	Black	28	26	394	16
2686468136	17838096	White	28	25	320	16
0	0	Black	22	12	400	16
16384	0	White	22	8	398	16
16384	16	Black	13	12	400	16
24576	16	White	12	3	69	16
24576	1048592	Black	12	3	65	16
2121728	1048592	White	12	3	32	16
2121728	537919504	Black	12	3	61	16
18898944	537919504	White	12	4	97	16
18898944	546308112	Black	12	3	57	16
18903040	546308112	White	11	1	1	16
18903040	546310160	Black	15	2	3	16
0	0	Black	22	12	400	16
8192	0	White	14	10	397	16
8192	16777216	Black	12	17	398	16
10240	16777216	White	12	3	77	16
10240	25165824	Black	12	4	35	16
14336	25165824	White	14	1	1	16
14336	25166848	Black	14	1	1	16
0	0	Black	22	12	400	16
16777216	0	White	23	9	394	16
16777216	8192	Black	23	13	400	16
25165824	8192	White	22	3	35	16
25165824	4202496	Black	32	14	397	16
25165840	4202496	White	14	15	229	16
